ID|Term_EN|Term_NO
710219003|Evaluation of psychosocial response to instruction about plan of care (procedure)|vurdering av psykososial respons på informasjon om behandlingsplan
1155760007|Care of wound due to malignant neoplastic disease (regime/therapy)|stell av malignt sår
710917005|Provision of transcutaneous electrical nerve stimulation device (procedure)|tilgjengeleggjering av TENS-utstyr
507561000202105|Dyspnea assessment (procedure)|vurdering av dyspné
497781000202102|Precautions for impaired psychological state (procedure)|forebygging av svekket psykisk status
460616007|Education of family (situation)|pårørandeundervisning
710909002|Referral to chaplaincy service (procedure)|henvisning til religiøs tjeneste
225968000|Liaising with relative (procedure)|samarbeid med slektning
710246008|Encouragement to perform positive affirmation (procedure)|oppmuntring til positiv stadfesting
385935004|Mouth care assessment (procedure)|vurdering av munnstell
710214008|Evaluation of psychosocial response to instruction about medication (procedure)|vurdering av psykososial respons på opplæring om medisinering
709256008|Assessment of ability to prepare food (procedure)|vurdering av evne til å tilberede mat
710766003|Implementation of immunization regime (regime/therapy)|iverksetjing av vaksinasjonsregime
588891000202103|Assessment of altered mental status (procedure)|vurdering av endra mental status
711118008|Facilitation of alcohol abuse recovery (procedure)|tilrettelegging for recovery etter alkoholmisbruk
710977001|Safe storage and management of medication (procedure)|trygg lagring og handtering av lækjemiddel
711037002|Use of de-escalation technique (procedure)|bruk av deeskaleringsteknikk
385830008|Specimen care (regime/therapy)|handtering av prøvemateriale
507871000202104|Safeguarding patients right of appeal (procedure)|varetaking av klageretten til pasienten
225715000|Endotracheal tube suction (procedure)|suging via endotrakeal tube
225162003|Examination of abdomen (procedure)|undersøking av abdomen
37831000202106|Monitoring of psychomotor agitation (regime/therapy)|overvaking av psykomotorisk agitasjon
709263008|Assessment of appetite (procedure)|vurdering av matlyst
711126000|Post-surgical assessment for risk of infection (procedure)|postoperativ vurdering av infeksjonsrisiko
84478008|Occupational therapy (regime/therapy)|ergoterapi
710922005|Provision of anticipatory guidance to family (situation)|veiledning til pårørende om hva som kan forventes
370800005|Evaluation of postoperative cardiac function (procedure)|evaluering av postoperativ hjertefunksjon
426866005|Determination of physical activity tolerance (procedure)|avklaring av aktivitetstoleranse
386485006|Unilateral neglect care (regime/therapy)|pleie ved unilateral neglekt
68894007|Placing restraint (procedure)|påføring av mekanisk tvangsmiddel
445075008|Request for language interpreter service (procedure)|førespurnad om tolketeneste
627841000202109|Assessment of vision (procedure)|kartlegging av syn
377401000202100|Life history interview (procedure)|livshistoriekartlegging
710855004|Assessment for sign of discomfort (procedure)|vurdering av tegn på ubehag
133906008|Postpartum care (regime/therapy)|postnatal pleie
710769005|Implementation of safety regime (regime/therapy)|iverksetjing av tryggingstiltak
386333005|Infant care (regime/therapy)|spedbarnspleie
709497004|Assessment of peristomal skin (procedure)|vurdering av peristomal hud
385707008|Fecal disimpaction education (procedure)|undervisning om fjerning av hard avføring
408984009|Growth and development care assessment (procedure)|vurdering av behandling relatert til vekst og utvikling
65153003|Art therapy (regime/therapy)|kunstterapi
709274004|Family education about prevention of cross infection (situation)|pårørendeundervisning om forebygging av kryssinfeksjon
370775006|Application of safety device (procedure)|bruk av sikkerhetsutstyr
271280005|Removal of endotracheal tube (procedure)|fjerning av endotrakeal tube
733861006|Assessment of caregiver stress (situation)|vurdering av stress hos omsorgsgjevar
710995003|Monitoring pain (regime/therapy)|overvåking av smerte
710856003|Assessment of grief (procedure)|vurdering av sorg
1153467007|Education of family about impaired cognition (situation)|pårørendeundervisning om kognitiv svikt
709485000|Assessment of knowledge of fall prevention (procedure)|vurdering av kunnskap om fallforebygging
370770001|Acting as individual patient advocate (regime/therapy)|opptre som talsperson for pasient
710058001|Management of vasopneumatic device (procedure)|håndtering av kompresjonsutstyr
386432004|Shock management (procedure)|handtering av sjokk
18101000202103|Giving encouragement to stoma care (procedure)|oppmuntring til stomistell
313280002|Manual evacuation of feces from rectum (procedure)|manuell fjerning av avføring fra rektum
507601000202105|Assessment of signs and symptoms of gastric retention (regime/therapy)|vurdering av tegn og symptomer på ventrikkelretensjon
431182000|Placing subject in prone position (procedure)|leiring i mageleie
14521000202106|Monitoring signs of hyperbilirubinemia (regime/therapy)|overvåking av tegn på hyperbilirubinemi
709758008|Liaising with education service (procedure)|samarbeid med opplæringsteneste
225337009|Suicide risk assessment (procedure)|vurdering av selvmordsrisiko
710747003|Family education about dietary regime (situation)|pårørandeundervisning om kosthaldsregime
712744002|Evaluation of care plan (procedure)|evaluering av behandlingsplan
408883002|Breastfeeding support (regime/therapy)|ammestøtte
711036006|Moving patient using transfer technique with lifting apparatus (procedure)|flytting ved hjelp av personløftar
709273005|Family education about susceptibility to infection (situation)|pårørendeundervisning om disposisjon for infeksjon
15961000202105|Information gathering about social network (procedure)|kartlegging av sosialt nettverk
429446009|Insertion of vascular catheter (procedure)|innsetting av vaskulært kateter
337691000202108|Prevention of spiritual distress (procedure)|førebygging av eksistensiell krise
337681000202106|Prevention of diarrhea (procedure)|forebygging av diaré
372061000|Maintaining the patient's dignity and privacy (procedure)|oppretthalding av verdigheita og privatlivet til pasienten
497821000202107|Precautions for fluid imbalance (procedure)|forebygging av væskeubalanse
710975009|Reinforcement of self efficacy (procedure)|forsterking av meistringstru
271733001|Pupil reaction (observable entity)|pupillreaksjon
710874007|Education about cross infection prevention (procedure)|undervisning om forebygging av kryssinfeksjon
385691007|Fracture care (regime/therapy)|frakturbehandling
792805006|Fasting (regime/therapy)|faste
287891000202105|Assessment of need for nasogastric tube (procedure)|vurdering av behov for nasogastrisk sonde
709271007|Family education about thermoregulation (situation)|pårørendeundervisning om temperaturregulering
362978005|Medical equipment or device education (procedure)|opplæring i medisinsk utstyr
25389001|Fluid restriction (procedure)|væskerestriksjon
710860000|Assessment of knowledge of patient controlled analgesia (procedure)|vurdering av kunnskap om pasientstyrt analgesi
386516004|Anticipatory guidance (procedure)|foregripende veiledning
225965002|Changing bed linen (procedure)|skift av sengetøy
373784005|Dispensing medication (procedure)|utlevering av legemiddel
243109004|Clean intermittent self-catheterization education (procedure)|opplæring i ren intermitterende katerisering
371754007|Discharge planning (procedure)|planlegging av utskriving
718308002|Peritoneal dialysis care (regime/therapy)|pleie ved peritonealdialyse
386262008|Dysreflexia management (regime/therapy)|behandling av dysrefleksi
15301000202105|Assessing warning signs of violent behavior (procedure)|vurdering av forvarsel til voldelig atferd
385858000|Tracheostomy care (regime/therapy)|trakeostomistell
15921000202100|Communication about violence prevention (regime/therapy)|samarbeidsdialog om valdsførebygging
710924006|Provision of adequate water supply (procedure)|tilrettelegging for tilknyting til kommunalt vass- og avløpsnett
711000008|Monitoring fluid output (regime/therapy)|overvåking av væskeproduksjon
408867002|Taking respiratory rate (procedure)|telling av respirasjonsfrekvens
710061000|Management of depressed mood with postpartum onset (procedure)|handtering av depressivt stemningsleie post partum
711009009|Waste removal service assessment (procedure)|vurdering av kommunal avfallsinnsamling
711080006|Demonstration of relaxation technique (procedure)|demonstrasjon av avslappingsteknikk
710897005|Education about water supply (procedure)|undervisning om vannforsyning
15502008|Wound treatment education (procedure)|undervisning om sårbehandling
410253009|Urinary catheter care management (procedure)|håndtering av stell av urinkateter
711053004|Assessment of risk for apnea (procedure)|vurdering av risiko for apné
33747003|Glucose measurement, blood (procedure)|blodsukkermåling
710772003|Identification of preoperative endocrine status (procedure)|avklaring av preoperativ endokrin status
18629005|Administration of drug or medicament (procedure)|administrasjon av lækjemiddel
710320006|Family education about health seeking behavior (situation)|pårørandeundervisning om helsesøkjande åtferd
1156697002|Coordination of medication regime (procedure)|koordinering av legemiddelregime
713147009|Application of hemostatic agent (procedure)|påføring av hemostatisk middel
171047005|Drugs of addiction education (procedure)|undervisning om avhengighetsskapende rusmidler og legemidler
704444008|Assisting with personal grooming (procedure)|bistand ved stell
710757002|Family education about electrolyte therapy (situation)|pårørandeundervisning om elektrolyttbehandling
713143008|Collection of arterial blood specimen (procedure)|arteriell blodprøvetaking
427581000202103|Measurement of fluid loss (procedure)|måling av væsketap
477691000202104|Delirium precautions (procedure)|førebygging av delirium
182836005|Review of medication (procedure)|legemiddelgjennomgang
713101001|Education about diabetic ulcer care (procedure)|undervisning om behandling av diabetessår
1155835003|Suction of oral cavity (procedure)|suging av munnhule
713116003|Monitoring adherence to medication regime (regime/therapy)|overvaking av etterleving av medikamentell behandling
266694003|Heat therapy (procedure)|prosedyre med bruk av varme
15471000202108|Promoting employment (procedure)|fremming av å være i arbeid
712552002|Assessment of personal hygiene pattern (procedure)|vurdering av vaner for personlig hygiene
710989004|Family education about fluid therapy (situation)|pårørendeundervisning om væskebehandling
710741002|Education of community about disease (situation)|lokal undervisning om sjukdom
711025004|Implementation of cluster care (procedure)|koordinering av samtidige undersøkelser og tiltak
710770006|Identification of risk of hemorrhage (procedure)|identifisering av blødingsrisiko
15061000202106|Facilitation of satisfactory living conditions (procedure)|tilrettelegging for tilfredsstillende boligtilstand
710884008|Education about managing withdrawal symptoms (procedure)|undervisning om håndtering av abstinenssymptomer
308739004|Repositioning (procedure)|endring av leie
713123002|Irrigation of urostomy (procedure)|skyljing av urostomi
15191000202104|Promoting participation in multiple family group therapy (procedure)|fremming av deltakelse i flerfamiliegruppe
370788009|Determination of knowledge level (procedure)|avklaring av kunnskapsnivå
40174006|Isolation procedure (procedure)|isolering
37801000202103|Positioning subject in supine position with elevated head of bed and placement of support devices under back region (procedure)|leiring i thoraxleie
710997006|Monitoring for impaired family coping (regime/therapy)|overvaking for svekt pårørandemeistring
15481000202105|Substance use management (procedure)|håndtering av substansbruk
15231000202105|Assessment of reporting concern to public services (procedure)|vurdering av å senda bekymringsmelding til offentleg teneste
1381507008|Use of trust building technique (procedure)|etablering av tillit
722440006|Management of central venous catheter (procedure)|håndtering av sentralt venekateter
268558004|Immunization status screening (procedure)|kartlegging av vaksinasjonsstatus
385976008|Bowel training (regime/therapy)|tarmtrening
68071000202108|Assessment of seizure (procedure)|vurdering av anfall
228590008|Validation therapy (procedure)|valideringsterapi
391465009|Blood ketone level (procedure)|blodketosemåling
410245001|Skin care education (procedure)|undervisning om hudstell
733864003|Assessment of fine motor function (procedure)|vurdering av finmotorikk
252314007|Blood transfusion test (procedure)|transfusjonsprøve
709543002|Administration of vitamin (procedure)|administrasjon av vitamin
713097005|Education about radial pulse taking (procedure)|opplæring i telling av radialispuls
17629007|Prenatal care education (procedure)|undervisning om svangerskapsomsorg
372059009|Evaluation of postoperative neurological status (procedure)|vurdering av postoperativ nevrologisk status
427541000202108|Frequent supervision (regime/therapy)|hyppig tilsyn
711018006|Assessment of social support (procedure)|vurdering av sosial støtte
364057009|Characteristic of respiratory effort (observable entity)|observasjon vedrørande respirasjonsarbeid
67889009|Irrigation (procedure)|skylling
410265008|Medication administration education, guidance, and counseling (procedure)|opplæring, veiledning og rådgivning om legemiddeladministrasjon
1153460009|Cleaning of tongue (procedure)|rengjøring av tunge
372033006|Hypothermia risk assessment (procedure)|vurdering av risiko for hypotermi
76168009|Group psychotherapy (regime/therapy)|gruppepsykoterapi
225388007|Dietary intake assessment (procedure)|vurdering av matinntak
409056005|Verification of surgical site and laterality (procedure)|verifikasjon av operasjonssted og lateralitet
347641000202100|Planning the week (procedure)|vekeplanlegging
709474002|Assessment of fatigue (procedure)|vurdering av fatigue
182796001|Intracranial pressure monitoring regime (regime/therapy)|overvaking av intrakranielt trykk
406551008|Social assessment (procedure)|vurdering av sosiale forhold
89732002|Drug of abuse screen (procedure)|rusmiddeltesting
385816003|Patient feeding technique assessment (procedure)|vurdering av spisehjelpsteknikk
225360001|Skin care (regime/therapy)|hudstell
710956004|Checking device safety (procedure)|tryggleikskontroll av utstyr
737395001|Assessment of need for bed rail use (procedure)|vurdering av behov for sengehest
105408001|Spiritual assessment (procedure)|vurdering av åndelighet
225194008|Stoma care procedure (regime/therapy)|stomistell
385800000|Allergic reaction management (regime/therapy)|handtering av allergisk reaksjon
271347000|Measurement of ketones in urine using dipstick (procedure)|urinketosemåling med teststrimmel
710045002|Screening for abuse (procedure)|kartlegging for mishandling
268389004|Bowel assessment (procedure)|vurdering av tarm
230040009|Airway suction technique (procedure)|suging av luftvegar
385801001|Allergic reaction control education (procedure)|undervisning om handtering av allergisk reaksjon
225203003|Removing intravenous infusion (procedure)|fjerning av intravenøs infusjon
1230126004|Performing dressing activity for full body of subject (procedure)|full påkleding
225346003|Promotion of independence (procedure)|fremjing av sjølvstende
710876009|Education about ambulation technique (procedure)|opplæring i forflyttingsteknikk
406185000|Trauma therapy (regime/therapy)|traumeterapi
367336001|Chemotherapy (procedure)|kjemoterapi
464611000124102|Coordination of care team (procedure)|koordinering av behandlingsteam
709757003|Liaising with pharmacist (procedure)|samarbeid med farmasøyt
445326001|Assistance with undressing (procedure)|bistand til avkledning
386296001|Fall prevention (procedure)|fallforebygging
347651000202102|Week plan follow-up (procedure)|oppfølging av vekeplan
710054004|Maintaining integrity of skin (procedure)|oppretthalding av hudintegritet
398143009|Uterine contraction monitoring (regime/therapy)|overvåking av uteruskontraksjoner
386329003|Treatment of hypothermia (procedure)|hypotermibehandling
497661000202101|Acute confusion precautions (procedure)|førebygging av akutt forvirring
868263005|Education about infectious disease (procedure)|undervisning om infeksjonssykdom
429723008|Procedure involving urinary catheter (procedure)|prosedyre som involverer urinkateter
386275008|Electrolyte monitoring (regime/therapy)|elektrolyttovervåking
308453003|Referral to occupational therapist (procedure)|henvisning til ergoterapeut
737302009|Counseling related to sexuality (procedure)|veiledning om seksualitet
713133005|Assessment following possible exposure to contagion (procedure)|vurdering etter mulig eksponering for smitte
386324008|Hope instillation (procedure)|fremming av håp
37799002|Urinary bladder training (regime/therapy)|blæretrening
386252001|Culture brokerage (procedure)|kulturell mekling
405782001|Relapse prevention (procedure)|forebygging av tilbakefall
370823008|Implementation of pain guidelines (regime/therapy)|iverksetting av retningslinjer for smertebehandling
410096008|Pacemaker care assessment (procedure)|vurdering av pacemakerbehandling
1153549003|Irrigation of colon via colostomy (procedure)|skyljing av kolostomi
40015002|Flatus, function (observable entity)|flatulens
444686003|Restriction of oral fluid (procedure)|drikkerestriksjon
736601004|Demonstration of inhaler technique (procedure)|demonstrasjon av inhalasjonsteknikk
225981007|Ensuring good communication (regime/therapy)|tilrettelegging for god kommunikasjon
386369002|Newborn monitoring (regime/therapy)|overvåking av nyfødt
444778007|Psychosexual assessment (procedure)|psykoseksuell vurdering
385727009|Emotional support management (procedure)|håndtering av emosjonell støtte
171071003|Foreign travel education (procedure)|undervisning om utenlandsreise
225313009|Supervision (regime/therapy)|tilsyn
497641000202102|Recording of defecation (procedure)|registrering av defekasjon
709516007|Assessment of sadness (procedure)|vurdering av tristheit
225423004|Complementary therapy (regime/therapy)|alternativ behandling
713129003|Assessment of caregiver abilities (situation)|vurdering av omsorgsgjevars omsorgsevne
386326005|Hyperglycemia management (procedure)|håndtering av hyperglykemi
394936006|Osteoporosis health education (procedure)|undervisning om osteoporose
225991001|Ensuring mobility aid available (procedure)|sørge for tilgjengelig mobilitetshjelpemiddel
225341008|Environmental safety assessment (procedure)|vurdering av miljøtryggleik
229585002|Cold pack treatment (procedure)|behandling med kjølepakning
1153472003|Promotion of health seeking behavior (procedure)|fremming av helsesøkende atferd
1156333005|Determination of subject's care preferences (procedure)|avklaring av behandlingspreferansar
231107005|Acupressure (regime/therapy)|akupressur
713091006|Education about vaginal hygiene (procedure)|undervisning om vaginalhygiene
370785007|Collaborating in initiating patient controlled analgesia initiation (procedure)|samarbeid om oppstart av pasientstyrt analgesi
713118002|Monitoring mechanical heart support device (regime/therapy)|overvåking av mekanisk hjertestøtte
21065008|Music therapy (regime/therapy)|musikkterapi
409019001|Postpartum care management (procedure)|handtering av postnatal pleie
1156523003|Education about transcutaneous neuromodulation device (procedure)|undervisning om utstyr for transkutan nervestimulering
709254006|Assessment of ability to communicate by talking (procedure)|vurdering av evne til å kommunisere ved tale
717778001|Mouth care (regime/therapy)|munnstell
406177009|Skin care: graft site (regime/therapy)|hudstell på transplantasjonssted
386441009|Sleep enhancement (procedure)|søvnforbedring
709278001|Family education about infant development (situation)|pårørandeundervisning om spedbarnsutvikling
372031008|Maintains continuous surveillance (regime/therapy)|opprettholdelse av kontinuerlig overvåking
710908005|Referral to self help service (procedure)|tilvising til sjølvhjelpsteneste
386337006|Intrapartal care (regime/therapy)|fødselspleie
710802005|Assisting health care provider (procedure)|bistand til helsepersonell
1153457002|Care of open wound (regime/therapy)|stell av ope sår
425315000|Cardiac assessment (procedure)|vurdering av hjerte
1155761006|Positioning of pillow (procedure)|plassering av pute
710775001|Identification of preoperative musculoskeletal status (procedure)|avklaring av preoperativ muskel- og skjelettstatus
52685006|Administration of analgesic (procedure)|administrasjon av smertestillende
1156959004|Organization of housing adapted to meet physical needs (procedure)|tilpassing av bustad basert på fysiske behov
225393005|Pressure injury assessment (procedure)|vurdering av trykksår
711137004|Count of instruments and sponges during surgery (procedure)|telling av kirurgisk utstyr og kompresser under operasjon
4625008|Apical pulse taking (procedure)|teljing av apikal puls
266735006|Urostomy stoma care training (procedure)|opplæring om urostomistell
347681000202105|Management of altered thought process (procedure)|handtering av endra tankeprosess
82078001|Collection of blood specimen for laboratory (procedure)|blodprøvetaking
567611000202108|Positioning of lower extremity (procedure)|leiring av underekstremitet
710355008|Education about health seeking behavior (procedure)|undervisning om helsesøkjande åtferd
167592004|Examination of feces (procedure)|undersøkelse av avføring
386242000|Communicable disease management (procedure)|håndtering av smittsom sykdom
710973002|Prevention of unwanted pregnancy (procedure)|forebygging av uønsket svangerskap
507651000202106|Treatment of infection (procedure)|behandling av infeksjon
710826007|Education about adaptation techniques for sensory deficit (procedure)|undervisning om tilpassingsteknikk for sensorisk utfall
1366711005|Assessment of family coping behavior (procedure)|vurdering av meistring hos pårørande
399230009|Constant observation (regime/therapy)|kontinuerleg observasjon
710853006|Assessment of fluid balance (procedure)|vurdering av væskebalanse
408926008|Sexual behavior analysis assessment (procedure)|vurdering av seksuell atferdsanalyse
225387002|Nutrient intake assessment (procedure)|vurdering av næringsinntak
46662001|Examination of breast (procedure)|undersøking av mamma
710959006|Implementation of immobilization regime (regime/therapy)|iverksetting av immobilitetsbehandling
1089591000202105|Mechanical positive pressure airway secretion-clearing (procedure)|slimmobilisering ved bruk av hostemaskin
733873006|Assessment of circulatory system (procedure)|vurdering av kardiovaskulære system
444894008|Provision of stoma care equipment (procedure)|sørge for utstyr til stomipleie
281100006|Referral to health worker (procedure)|tilvising til helsepersonell
1284867003|Education about relaxation technique (procedure)|opplæring i avslappingsteknikk
372134003|Assessment of knowledge regarding wound care (procedure)|vurdering av kunnskap om sårbehandling
406176000|Skin care: donor site (regime/therapy)|hudstell på donorsted
507841000202107|Information gathering about social circumstances (procedure)|sosialfaglig utredning
408881000|Nausea care education (procedure)|undervisning om kvalmebehandling
25902004|Individual exercises (regime/therapy)|individuelle øvelser
18311000202104|Limiting triggering factors (procedure)|begrensning av utløsende faktorer
710822009|Education about community services (procedure)|undervisning om lokalt tenestetilbod
430252009|Education about infant stimulation at 0-4 months (procedure)|undervisning om stimulering av spedbarn i alderen 0-4 månader
711043000|Assessment of self-care (procedure)|vurdering av egenomsorg
1153455005|Assessment of signs and symptoms of infection (procedure)|vurdering av tegn og symptomer på infeksjon
710082006|Protection of cultural belief (procedure)|beskyttelse av kulturelle oppfatninger
418526005|Prevention education (procedure)|undervisning om førebygging
1156583001|Facilitation of sucking reflex (procedure)|tilrettelegging for sugerefleks
507831000202101|Assessment of signs and symptoms of urinary rentention (regime/therapy)|vurdering av tegn og symptomer på urinretensjon
700258004|Dietary education about vitamin intake (procedure)|undervisning om vitamininntak
15501000202104|Information gathering about substance use (procedure)|kartlegging av substansbruk
182882002|Drug intake observed (procedure)|observert legemiddelinntak
11731000202104|Assisting with establishing circadian rhythm (procedure)|hjelp til etablering av døgnrytme
133918004|Comfort measures (regime/therapy)|trøst
709478004|Assessment of food supply (procedure)|vurdering av matforsyning
1153468002|Education about impaired cognition (procedure)|undervisning om kognitiv svikt
710950005|Progressive mobility (regime/therapy)|opptrapping av mobilisering
408978006|Urinary incontinence care education (procedure)|undervisning om behandling ved urininkontinens
713119005|Monitoring confusion (regime/therapy)|overvaking av forvirring
338031000202104|Monitoring for signs and symptoms of cerebrospinal fluid leak (regime/therapy)|overvåking av tegn og symptomer på lekkasje av cerebrospinalvæske
710870003|Support for caregiver during weaning (regime/therapy)|støtta omsorgsgjevar ved avvenning frå morsmjølk
709476000|Assessment of fear about being a burden to others (procedure)|vurdering av frykt for å vera ei byrde
225993003|Promoting rest (procedure)|fremming av hvile
133858001|Preoperative procedure (procedure)|preoperativ prosedyre
